UAI;Nom de l'établissement;Type;Commune;Site web;Statut détection;Indice trouvé;URL de détection
9740037X;Clg Gaston Crochet;;;https://etab.ac-reunion.fr/clg-gaston-crochet;Non;;https://etab.ac-reunion.fr/clg-gaston-crochet
9740039Z;Clg Albert Lougnon;;;https://etab.ac-reunion.fr/clg-albert-lougnon;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-albert-lougnon/archives/6491
9740042C;Clg La Montagne;;;https://etab.ac-reunion.fr/clg-la-montagne;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-la-montagne/balado/
9740043D;Lyc Sarda Garriga;;;https://etab.ac-reunion.fr/lyc-sarda-garriga;Non;;https://etab.ac-reunion.fr/lyc-sarda-garriga
9740044E;Clg Thérésien Cadet;;;https://etab.ac-reunion.fr/clg-theresien-cadet;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-theresien-cadet/bourse-2024/
9740045F;Lyc St Exupéry;;;https://etab.ac-reunion.fr/lyc-antoine-de-saint-exupery;Non;;https://etab.ac-reunion.fr/lyc-antoine-de-saint-exupery
9740046G;Clg Fanny Desjardins - Bras Panon;;;https://etab.ac-reunion.fr/clg-fanny-desjardins;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-fanny-desjardins/
9740065C;Clg Bassin Bleu;;;https://etab.ac-reunion.fr/clg-bassin-bleu;Oui;Mot-clé: podcast;https://etab.ac-reunion.fr/clg-bassin-bleu/erasmus-en-2024-2025/
9740069G;Clg L’Étang St-Paul;;;https://etab.ac-reunion.fr/clg-etang-saint-paul;Non;;https://etab.ac-reunion.fr/clg-etang-saint-paul
9740070H;Clg 14ème Km;;;https://etab.ac-reunion.fr/clg-14eme;Non;;https://etab.ac-reunion.fr/clg-14eme
9740076P;Clg Sainte Geneviève;;;https://etab.ac-reunion.fr/clg-sainte-genevieve;Oui;Mot-clé: podcast;https://etab.ac-reunion.fr/clg-sainte-genevieve/2025/11/24/concours-reinventer-le-monde/
9740080U;Clg Bourbon;;;https://etab.ac-reunion.fr/clg-bourbon;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-bourbon/
9740081V;Clg Juliette Dodu;;;https://etab.ac-reunion.fr/clg-juliette-dodu;Non;;https://etab.ac-reunion.fr/clg-juliette-dodu
9740082W;LP Julien de Rontaunay;;;https://etab.ac-reunion.fr/lyc-rontaunay;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-rontaunay/mention-complementaire-animation-gestion-de-projets-dans-le-secteur-sportif-agss/
9740083X;Clg A. Pierre Bouvet;;;https://etab.ac-reunion.fr/clg-amiral-bouvet;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-amiral-bouvet/2025/11/17/forum-des-metiers-2eme-edition/
9740084Y;Clg Raymond Vergès;;;https://etab.ac-reunion.fr/clg-raymond-verges;Oui;Mot-clé: web radio;https://etab.ac-reunion.fr/clg-raymond-verges/
9740085Z;Clg Trois Bassins;;;https://etab.ac-reunion.fr/clg-trois-bassins;Non;;https://etab.ac-reunion.fr/clg-trois-bassins
9740091F;Clg Leconte de Lisle;;;https://etab.ac-reunion.fr/clg-leconte-de-lisle;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-leconte-de-lisle/concours-realise-ton-affiche-de-la-semaine-edd-2025/
9740093H;Clg Jules Solesse;;;https://etab.ac-reunion.fr/clg-jules-solesse;Oui;Balise <audio>;https://etab.ac-reunion.fr/clg-jules-solesse/ppms-distinguer-les-sonneries-dalerte/
9740094J;Clg Hippolyte Foucque;;;https://etab.ac-reunion.fr/clg-hippolyte-foucque;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-hippolyte-foucque/
9740096L;Clg Alsace Corré;;;https://etab.ac-reunion.fr/clg-alsace-corre;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-alsace-corre/2024/12/03/orientation-post-3eme/
9740468R;Clg Bory Saint-Vincent;;;https://etab.ac-reunion.fr/clg-bory-de-saint-vincent;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-bory-de-saint-vincent/
9740471U;Lyc Amiral Pierre Bouvet;;;https://etab.ac-reunion.fr/lyc-amiral-bouvet;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-amiral-bouvet/bienvenue-sur-le-projet-detak-baro/
9740472 V;LP Patu de Rosemont;;;https://etab.ac-reunion.fr/lyc-patu-de-rosemont;Oui;Mot-clé: web radio;https://etab.ac-reunion.fr/lyc-patu-de-rosemont/
9740479C;LP Amiral Lacaze;;;https://etab.ac-reunion.fr/lyc-amiral-lacaze;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/lyc-amiral-lacaze/
9740546A;Clg Marcel Goulette;;;https://etab.ac-reunion.fr/clg-marcel-goulette;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-marcel-goulette/
